"","WDPA_PID","BIOME","IUCN_CAT","IUCN_GROUP","GIS_AREA","PA_Area","BUFF_Area","CONTINENT","LAT","LONG","PA_FPAR_COUNT","PA_FPAR_MEAN","BUFF_FPAR_MEAN","PA_DUR_COUNT","PA_DUR_MEAN","BUFF_DUR_MEAN","PA_IGN_COUNT","PA_IGN_MEAN","BUFF_IGN_MEAN","PA_HFP_COUNT","PA_HFP_MEAN","BUFF_HFP_MEAN","PA_NAT_AREA_COUNT","PA_NAT_AREA","BUFF_NAT_AREA","PA_HET_COUNT","PA_HET","BUFF_HET","PA_BA_COUNT","PA_BA","BUFF_BA"
"2794","140990",4,"IV","A",0.070947246,NA,NA,"EU",52.61843,1.043758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA
"2795","140992",4,"IV","A",0.107570012,NA,NA,"EU",50.84209,-4.449107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,NA
"2796","140996",4,"IV","A",0.319891718,NA,NA,"EU",50.73317,-4.496649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,NA,NA,NA
"2797","141",1,"II","A",905.291752,9.07e+08,6373000192,"SA",2.13151,-76.4305,1047,-180.996179560649,-96.6550701186624,1,0,0,1,0,0,911,0.911086721032956,0.969230773273031,11672,0,29000192,9461,0,0,NA,NA,NA
"2798","1410",1,"Ia","A",985.1047018,9.86e+08,2340999936,"AS",9.189239,98.66764,1118,-45.6296958855098,37.5647975077882,1,0,1.25,1,0,0.25,988,0.510121458213822,5.22069691856408,12713,-8e+06,10999936,9302,-1,0,NA,NA,NA
"2799","141000",4,"IV","A",0.286796364,NA,NA,"EU",50.69713,-4.588664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,NA,NA,NA
"2800","141015",4,"IV","A",0.102212598,NA,1.4e+07,"EU",50.95085,0.287376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,NA
"2801","141017",4,"IV","A",0.446596366,1e+06,1.824e+09,"EU",51.76485,-1.247154,1,178,307.054666263969,NA,NA,NA,NA,NA,NA,1,0,-1.64715536105033,NA,NA,NA,9,0,0,NA,NA,NA
"2802","141029",4,"IV","A",2.788610055,2e+06,NA,"EU",52.23901,0.3745509,4,373.75,300.42899543379,NA,NA,NA,NA,NA,NA,1,2,-1.10316139608374,NA,NA,NA,45,0,0,NA,NA,NA
"2803","141030",4,"IV","A",0.508780641,1e+06,NA,"EU",53.10142,-1.698682,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-8,-4.89751243781095,NA,NA,NA,7,0,0,NA,NA,NA
"2804","141031",4,"IV","A",0.068852568,NA,NA,"EU",51.78793,-1.330387,1,290,307.492072643413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,NA
"2805","141047",4,"IV","A",0.022686513,NA,1.1e+07,"EU",54.65406,-2.984352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA
"2806","141052",4,"IV","A",0.102486151,NA,1083000064,"EU",51.61208,-1.908517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,-1,NA,NA,NA
"2807","141069",4,"IV","A",2.830659652,NA,NA,"EU",50.03368,-5.121311,2,-31.5,-128.898430286242,NA,NA,NA,NA,NA,NA,1,-6,-4.15103342726424,NA,NA,NA,26,0,-1,NA,NA,NA
"2808","141077",4,"IV","A",0.018895038,NA,NA,"EU",51.23765,-0.8228163,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,-1.22365702479339,NA,NA,NA,1,0,0,NA,NA,NA
"2809","1411",1,"Ia","A",1207.64449,1.206e+09,1316999936,"AS",19.41844,98.24081,1491,-214.577464788732,-133.935437293729,NA,NA,NA,NA,NA,NA,1208,0.737582771786001,1.02789752745792,15584,2000128,8e+06,13390,0,0,1201,-1.54e+08,3.4e+07
"2810","141111",4,"IV","A",0.136316256,1e+06,6.12e+08,"EU",52.40915,-2.061055,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,-2.0186210367388,3,0,-1.6e+07,2,0,0,NA,NA,NA
"2811","141117",4,"IV","A",0.107928794,NA,NA,"EU",52.61555,-1.586278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,NA
"2812","141120",NA,NA,NA,NA,NA,3.67e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2813","141125",4,"IV","A",107.5613841,1.03e+08,NA,"EU",54.18287,-1.785616,219,121.598173515982,106.389413403498,NA,NA,NA,NA,NA,NA,103,-1.48543689320388,-3.01792223326056,NA,NA,NA,1917,0,0,NA,NA,NA
"2814","141144",4,"IV","A",1.608808825,NA,1.74e+08,"EU",50.33761,-4.251184,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-2.33333333333333,-5.06478410820628,22,0,0,15,0,0,NA,NA,NA
"2815","141153",4,"IV","A",1.771627018,NA,NA,"EU",50.70478,-2.199922,4,121,191.264116575592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0,0,NA,NA,NA
"2816","141154",NA,NA,NA,NA,NA,4e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2817","141158",4,"IV","A",1.741886742,1e+06,NA,"EU",51.70686,-0.0173,2,224.5,325.944039862016,NA,NA,NA,NA,NA,NA,2,0,-0.233549582947173,NA,NA,NA,18,0,0,NA,NA,NA
"2818","141160",4,"IV","A",2.525234611,1e+06,NA,"EU",51.83466,-2.652293,6,14,246.133185075364,NA,NA,NA,NA,NA,NA,3,-10.6666666666667,-5.25343376712351,NA,NA,NA,39,0,1,NA,NA,NA
"2819","1412",1,"Ia","A",737.957531,7.41e+08,1876999936,"AS",13.07003,102.1466,878,113.723234624146,90.7508184794471,1,4.4404993057251,-10.1827859481176,1,-1.18787860870361,-24.0767469406128,741,-0.593792176600571,-0.726288441921943,9523,-2e+06,-2e+07,7926,1,1,730,2e+06,-9.3e+07
"2820","1413",1,"Ia","A",921.3556923,9.15e+08,3358000128,"AS",17.2256,101.4765,1120,-7.58928571428571,-53.8748187530208,1,-10.2308387756348,-0.769108242458767,1,-16.6704978942871,3.13787449730767,923,-1.83748645927123,1.37568734690418,11887,-3.7e+07,-1.1e+07,10082,0,0,923,-2.7e+07,-5.7e+07
"2821","1414",1,"Ia","A",977.8111388,9.79e+08,1267000064,"AS",14.43931,99.27385,1174,-102.801533219761,-233.016745956232,1,1.73508644104004,-3.52704320635114,1,-3.26757717132568,10.6890886851719,979,-3.24719100003345,-0.15789473480434,12615,-6e+06,0,10515,0,0,976,1.2e+08,-1e+06
"2822","1415",2,"Ia","A",336.8214415,3.36e+08,1.356e+09,"AS",14.41505,104.5167,409,47.4352078239609,93.0626780626781,1,0.182631492614746,0.553993225097656,1,5.46935272216797,0.241259256998698,332,-0.930722900183804,-1.61970961215432,4326,0,-2.1e+07,3630,0,0,335,0,5.7e+07
"2823","1416",1,"II","A",745.7792214,7.48e+08,2.88e+09,"AS",18.17054,97.76205,916,-88.4508733624454,-64.8529050736498,1,-1.36265897750854,1.11590733528137,1,-0.240444183349609,-7.03742561340332,744,-0.112903228370092,0.303272418251581,9613,0,999936,8218,1,0,747,-8.8e+07,2.1e+07
"2824","1417",1,"Ia","A",538.7277093,5.37e+08,4224999936,"AS",17.47539,100.7061,657,-21.1415525114155,-150.05326360643,1,-3.58484363555908,2.52523684501648,1,4.89377403259277,-9.45738633473714,539,-0.220779219894551,-1.12491128493743,6953,0,-2000128,5905,0,1,539,-5e+06,-9e+06
